scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,,,,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
0,abb_f_000,bau,0,abb_future,0,0,0,,,,0,0,0,0,100,1952.831525,0,1952.831525,,,1952.831525,0,0,0,-14568.74493,0,0,0,0,5692.078,0,5161.083446,1952.831525,100,100,0,0,0,1952.831525,0,5692.078
1,abb_f_001,cp_only,0,abb_future,0,0,857.966439,,,,0,0,0,0,100,1050.625764,0,1908.592203,1974.602203,21.77067755,1974.602203,0,0,0,-14238.7055,0,0,0,3882.177712,4530.203972,88.61529552,5053.921375,1050.625764,23.03453826,23.03453826,20.41212415,20.41212415,0,1908.592203,0,5692.078
2,abb_f_002,cp_only,0,abb_future,0,0,1266.166621,,,,0,0,0,0,100,543.9504132,0,1810.117034,2502.417034,549.5855084,2502.417034,0,0,0,-13504.04938,0,0,0,6638.532619,4258.775424,141.8082323,4998.262454,543.9504132,17.75683647,17.75683647,25.18065592,25.18065592,0,1810.117034,0,5692.078
3,abb_f_003,cp_only,0,abb_future,0,0,1641.327101,,,,0,0,0,0,100,51.56005696,0,1692.887158,2764.377158,811.5456323,2764.377158,0,0,0,-12629.47718,0,0,0,9423.739646,4065.483849,194.1353192,4979.492748,51.56005696,14.7198644,14.7198644,28.57645575,28.57645575,0,1692.887158,0,5692.078
4,abb_f_004,cp_only,0,abb_future,0,0,543.5563775,,,,0,0,0,0,100,1050.625764,0,1594.182141,1660.192141,-292.6393839,1660.192141,0,0,0,-11893.10634,0,0,0,3882.177712,4530.203972,88.61529552,5053.921375,1050.625764,23.03453826,23.03453826,20.41212415,20.41212415,0,1594.182141,0,5692.078
5,abb_f_005,cp_only,0,abb_future,0,0,782.5613141,,,,0,0,0,0,100,543.9504132,0,1326.511727,2018.811727,65.98020192,2018.811727,0,0,0,-9896.199824,0,0,0,6638.532619,4258.775424,141.8082323,4998.262454,543.9504132,17.75683647,17.75683647,25.18065592,25.18065592,0,1326.511727,0,5692.078
6,abb_f_006,cp_only,0,abb_future,0,0,1172.376501,,,,0,0,0,0,100,51.56005696,0,1223.936557,2295.426557,342.5950321,2295.426557,0,0,0,-9130.956399,0,0,0,9423.739646,4065.483849,194.1353192,4979.492748,51.56005696,14.7198644,14.7198644,28.57645575,28.57645575,0,1223.936557,0,5692.078
14,abb_f_014,bau,0,abb_future,0,0,0,,,,0,0,0,0,100,1787.455809,0,1787.455809,,,,0,0,0,-13334.98943,0,0,0,0,5692.078,0,5161.083446,1787.455809,100,100,0,0,0,1787.455809,0,5692.078
15,abb_f_015,cp_only,0,abb_future,0,0,857.966439,,,,0,0,0,0,100,1182.563716,0,2040.530155,,,,0,0,0,-15223.00463,0,0,0,3882.177712,4530.203972,88.61529552,5053.921375,1182.563716,23.03453826,23.03453826,20.41212415,20.41212415,0,2040.530155,0,5692.078
16,abb_f_016,cp_only,0,abb_future,0,0,1266.166621,,,,0,0,0,0,100,874.8046372,0,2140.971258,,,,0,0,0,-15972.32723,0,0,0,6638.532619,4258.775424,141.8082323,4998.262454,874.8046372,17.75683647,17.75683647,25.18065592,25.18065592,0,2140.971258,0,5692.078
17,abb_f_017,cp_only,0,abb_future,0,0,1641.327101,,,,0,0,0,0,100,581.6311875,0,2222.958288,,,,0,0,0,-16583.97658,0,0,0,9423.739646,4065.483849,194.1353192,4979.492748,581.6311875,14.7198644,14.7198644,28.57645575,28.57645575,0,2222.958288,0,5692.078
18,abb_f_018,cp_only,0,abb_future,0,0,543.5563775,,,,0,0,0,0,100,1182.563716,0,1726.120094,,,,0,0,0,-12877.40547,0,0,0,3882.177712,4530.203972,88.61529552,5053.921375,1182.563716,23.03453826,23.03453826,20.41212415,20.41212415,0,1726.120094,0,5692.078
19,abb_f_019,cp_only,0,abb_future,0,0,782.5613141,,,,0,0,0,0,100,874.8046372,0,1657.365951,,,,0,0,0,-12364.47767,0,0,0,6638.532619,4258.775424,141.8082323,4998.262454,874.8046372,17.75683647,17.75683647,25.18065592,25.18065592,0,1657.365951,0,5692.078
20,abb_f_020,cp_only,0,abb_future,0,0,1172.376501,,,,0,0,0,0,100,581.6311875,0,1754.007688,,,,0,0,0,-13085.4558,0,0,0,9423.739646,4065.483849,194.1353192,4979.492748,581.6311875,14.7198644,14.7198644,28.57645575,28.57645575,0,1754.007688,0,5692.078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario,export > 10kW/day,Reduced export on SP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,943,66.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9890,692.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15307,1071.49,,,,,,,,,